Course_Code,Year,Gender,Category,Merit_No,Seat_Types,Round,CET_Score,Chance_Of_Admit
411624210,2019-20,Male,OPEN,19801,Home University,Round 1,90.11,1
411624210,2019-20,Female,OPEN,18546,Home University,Round 1,90.85,1
411624210,2019-20,Male ,OPEN,20831,State Level,Round 2,89.5,1
411624210,2019-20,Female,OPEN,19586,State Level,Round 2,90.23,1
411624210,2019-20,Male,OPEN,19802,Home University,Round 1,89.61,0
411624210,2019-20,Female,OPEN,18547,Home University,Round 1,90.35,0
411624210,2019-20,Male ,OPEN,20832,State Level,Round 2,89,0
411624210,2019-20,Female,OPEN,19587,State Level,Round 2,89.73,0
411624210,2020-21,Male,OPEN,16784,State Level,Round 1,84.26,1
411624210,2020-21,Female ,OPEN,16902,State Level,Round 1,88.36,1
411624210,2020-21,Male,OPEN,16938,State Level,Round 2,88.36,1
411624210,2020-21,Female ,OPEN,17053,State Level,Round 2,88.21,1
411624210,2020-21,Male,OPEN,16785,State Level,Round 1,83.76,0
411624210,2020-21,Female ,OPEN,16903,State Level,Round 1,87.86,0
411624210,2020-21,Male,OPEN,16939,State Level,Round 2,87.86,0
411624210,2020-21,Female ,OPEN,17054,State Level,Round 2,87.71,0
411624210,2021-22,Male,OPEN,16784,State Level,Round 1,88.75,1
411624210,2021-22,Female ,OPEN,16902,State Level,Round 1,88.75,1
411624210,2021-22,Male,OPEN,16938,State Level,Round 2,88.36,1
411624210,2021-22,Female ,OPEN,17053,State Level,Round 2,88.21,1
411624210,2021-22,Male,OPEN,16785,State Level,Round 1,88.25,0
411624210,2021-22,Female ,OPEN,16903,State Level,Round 1,88.25,0
411624210,2021-22,Male,OPEN,16939,State Level,Round 2,87.86,0
411624210,2021-22,Female ,OPEN,17054,State Level,Round 2,87.71,0
411624210,2022-23,Male,OPEN,18521,State Level,Round 1,90,1
411624210,2022-23,Female,OPEN,17365,State Level,Round 1,90.64,1
411624210,2022-23,Male,OPEN,18928,State Level,Round 2,89.54,1
411624210,2022-23,Female,OPEN,18928,State Level,Round 2,89.87,1
411624210,2022-23,Male,OPEN,18522,State Level,Round 1,89.5,0
411624210,2022-23,Female,OPEN,17366,State Level,Round 1,90.14,0
411624210,2022-23,Male,OPEN,18929,State Level,Round 2,89.04,0
411624210,2022-23,Female,OPEN,18929,State Level,Round 2,89.37,0
411624210,2019-20,Male,TFWS,13269,Home University,Round 1,90.85,1
411624210,2019-20,Female,TFWS,13269,Home University,Round 1,90.85,1
411624210,2019-20,Male ,TFWS,13025,State Level,Round 2,93.83,1
411624210,2019-20,Female,TFWS,13025,State Level,Round 2,93.83,1
411624210,2019-20,Male,TFWS,13270,Home University,Round 1,90.35,0
411624210,2019-20,Female,TFWS,13270,Home University,Round 1,90.35,0
411624210,2019-20,Male ,TFWS,13026,State Level,Round 2,93.33,0
411624210,2019-20,Female,TFWS,13026,State Level,Round 2,93.33,0
411624210,2020-21,Male,TFWS,12182,State Level,Round 1,91.58,1
411624210,2020-21,Female ,TFWS,12182,State Level,Round 1,91.58,1
411624210,2020-21,Male,TFWS,12784,State Level,Round 2,91.17,1
411624210,2020-21,Female ,TFWS,12784,State Level,Round 2,91.17,1
411624210,2020-21,Male,TFWS,12183,State Level,Round 1,91.08,0
411624210,2020-21,Female ,TFWS,12183,State Level,Round 1,91.08,0
411624210,2020-21,Male,TFWS,12785,State Level,Round 2,90.67,0
411624210,2020-21,Female ,TFWS,12785,State Level,Round 2,90.67,0
411624210,2021-22,Male,TFWS,12182,State Level,Round 1,93.07,1
411624210,2021-22,Female ,TFWS,12182,State Level,Round 1,93.07,1
411624210,2021-22,Male,TFWS,12784,State Level,Round 2,91.17,1
411624210,2021-22,Female ,TFWS,12784,State Level,Round 2,91.17,1
411624210,2021-22,Male,TFWS,12183,State Level,Round 1,92.57,0
411624210,2021-22,Female ,TFWS,12183,State Level,Round 1,92.57,0
411624210,2021-22,Male,TFWS,12785,State Level,Round 2,90.67,0
411624210,2021-22,Female ,TFWS,12785,State Level,Round 2,90.67,0
411624210,2022-23,Male,TFWS,13128,State Level,Round 1,92.9,1
411624210,2022-23,Female,TFWS,13128,State Level,Round 1,92.9,1
411624210,2022-23,Male,TFWS,14216,State Level,Round 2,92.33,1
411624210,2022-23,Female,TFWS,14216,State Level,Round 2,92.33,1
411624210,2022-23,Male,TFWS,13129,State Level,Round 1,92.4,0
411624210,2022-23,Female,TFWS,13129,State Level,Round 1,92.4,0
411624210,2022-23,Male,TFWS,14217,State Level,Round 2,91.83,0
411624210,2022-23,Female,TFWS,14217,State Level,Round 2,91.83,0
510824510,2019-20,Male,EWS,72995,State Level,Round 1,20.7,1
510824510,2019-20,Female,EWS,72995,State Level,Round 1,20.7,1
510824510,2019-20,Male ,EWS,72771,State Level,Round 2,20.94,1
510824510,2019-20,Female,EWS,72771,State Level,Round 2,20.94,1
